"","d","a","b","cmgnl"
"199",0.411470753014719,33,30,0.779712166193481
"200",0.411384635271607,23,11,0.877435489045818
"201",0.411003882185604,9,35,-0.212777343604989
"202",0.410640402909567,33,20,0.174512936061488
"203",0.410277846639031,3,35,0.92418134899333
"204",0.410166317134456,17,11,0.959981618965672
"205",0.40998178610481,10,12,-0.504539478438958
"206",0.409938715929521,15,25,0.96417866375589
"207",0.407556768425167,14,22,0.171345017702437
"208",0.40754179613431,16,17,0.962598486744381
"209",0.407220108628376,31,16,-0.46573632157355
"210",0.406645944656821,25,35,0.91766144504794
"211",0.406490385176862,3,31,0.937016000606883
"212",0.40584477085616,32,23,-0.0739516486770915
"213",0.40426844724124,31,19,0.886180060897548
"214",0.403774847177134,3,16,-0.625481708678428
"215",0.403706691175106,11,7,0.905699893844649
"216",0.403471686209034,33,22,-0.0669474388008987
"217",0.403289480720422,2,12,-0.632647816043615
"218",0.400873064905978,22,8,0.409543763696753
"219",0.400093342934914,35,15,0.974697629565794
"220",0.399975065921379,34,12,-0.693869944609583
"221",0.399959235689154,20,23,0.716712442838558
"222",0.399736216638915,7,31,-0.342693632290744
"223",0.399687090281084,31,15,0.994720150754886
"224",0.399350557412296,18,23,-0.42865047587775
"225",0.399179734007088,35,28,-0.401998929092949
"226",0.399145845000359,15,13,-0.073605537181899
"227",0.39797766836103,27,19,0.917346005823798
"228",0.397955835223247,10,6,0.761919707086958
"229",0.397914768500809,22,16,0.846908517143828
"230",0.397841219889751,15,31,0.994720150754886
"231",0.397687273619833,3,29,0.335295513337288
"232",0.397439016754207,36,30,0.184907498658128
"233",0.397410242670727,3,11,-0.19906185030644
"234",0.397245341991653,4,23,-0.310520358292451
"235",0.396929934872932,12,26,0.854145654870815
"236",0.396751874606709,11,33,-0.0912352697461202
"237",0.396014876815442,27,16,-0.439694941350953
"238",0.395977605841254,31,25,0.952133076578184
"239",0.395881884304716,6,10,0.761919707086958
"240",0.39527026177243,34,36,0
"241",0.393325018584627,21,13,0.389613206998566
"242",0.393111602970934,3,27,0.915602885445502
"243",0.392909000322495,22,23,0.866407896441556
"244",0.391389509538245,35,5,-0.121100098708737
"245",0.391308227851405,25,1,0.418826324690889
"246",0.390409517116072,15,7,-0.31964410756816
"247",0.39009433275229,1,35,0.0701667260405166
"248",0.389082853309262,18,12,-0.556686131247221
"249",0.388434563248836,1,17,0.891215341020587
"250",0.388237270781621,36,33,-0.469162233434152
"251",0.388237053971712,35,21,0.775997497183362
"252",0.387762137079464,14,23,-0.304604708620511
"253",0.387745518641655,26,33,-0.304604017692339
"254",0.387561815865565,10,23,-0.383495545570617
"255",0.386606386859407,7,27,-0.329254645173586
"256",0.386488764010779,13,31,-0.10255074429311
"257",0.385873257248849,16,35,-0.533642519061386
"258",0.383901206603983,18,36,0
"259",0.383669602784311,13,35,-0.192825123835821
"260",0.383331093333768,1,31,0.165540656447615
"261",0.38280513212258,18,20,0.261888766098467
"262",0.382073145277055,3,12,-0.709288393315345
"263",0.381704694105205,27,29,0.607000932409986
"264",0.381646168803525,21,29,0.858408714278974
"265",0.381084140683541,4,8,0.966147523188015
"266",0.380945789709162,23,36,0
"267",0.380831358448852,31,12,-0.543023304322367
"268",0.38036733218169,34,33,0.955708286650065
"269",0.380100393401661,29,13,0.604957587249621
"270",0.379664635904087,15,35,0.974697629565794
"271",0.379574941433786,12,17,0.928499867579977
"272",0.379176720997094,34,26,-0.334247868091211
"273",0.379101632882111,35,3,0.92418134899333
"274",0.378673413223782,1,15,0.192360507199122
"275",0.378616615027873,16,7,0.968232559160763
"276",0.378585199406439,9,25,0.164443552160594
"277",0.378320792792983,17,15,-0.20081491518384
"278",0.378302853556805,4,26,0.01874657241326
